INFO:root:Frame #1 - 1710344531.926873: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #2 - 1710344531.964621: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #3 - 1710344531.9713197: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #4 - 1710344531.9856505: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #5 - 1710344531.9996283: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #6 - 1710344532.0186894: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #7 - 1710344532.0363443: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #8 - 1710344532.041615: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #9 - 1710344532.048849: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #10 - 1710344532.0533857: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #11 - 1710344532.2027376: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #12 - 1710344532.2038012: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #13 - 1710344532.2050068: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #14 - 1710344532.2062013: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #15 - 1710344532.4604132: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #16 - 1710344532.4612525: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #17 - 1710344532.4620001: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #18 - 1710344532.4626474: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #19 - 1710344532.4646144: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #20 - 1710344532.4657655: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #21 - 1710344532.466369: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #22 - 1710344532.466949: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #23 - 1710344532.4678233: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #24 - 1710344532.4686844: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #25 - 1710344532.4719098: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #26 - 1710344532.474324: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
